User Input,Chatbot Response,Timestamp
h,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-12 09:54:33
hii,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-03-12 09:55:06
hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-12 09:55:18
hello,Hi there,2025-03-12 09:55:49
goodbye,See you later,2025-03-12 09:56:01
hii,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-03-12 10:23:27
h,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-12 10:23:41
hello,Hello,2025-03-12 10:23:48
goodbye,See you later,2025-03-12 10:24:02
weather,You can check the weather on a weather app or website.,2025-03-12 10:25:04
